ds	cus	veh	model     	ws	tlim	Sec	Obj	Var
AA	25	2	Taxi_Express2	0	10	10.035	580492	292
AA	30	3	Taxi_Express1ws	1	9	9.017	469676	720
AA	30	3	Taxi_Express2ws	1	9	9.019	382864	846
AA	30	3	Taxi_Express1ws	2	8	8.031	469676	720
AA	30	3	Taxi_Express2ws	2	8	8.035	382864	846
AA	30	3	Taxi_Express1ws	3	7	7.035	469676	720
AA	30	3	Taxi_Express2ws	3	7	7.07	382864	846
AA	30	3	Taxi_Express1	0	10	10.034	483352	360
AA	30	3	Taxi_Express2	0	10	10.003	356036	486
AA	35	3	Taxi_Express1ws	1	9	9.04	552489	832
AA	35	3	Taxi_Express2ws	1	9	9.011	446881	979
AA	35	3	Taxi_Express1ws	2	8	8.042	552489	832
AA	35	3	Taxi_Express2ws	2	8	8.028	449374	979
AA	35	3	Taxi_Express1ws	3	7	7.023	552489	832
AA	35	3	Taxi_Express2ws	3	7	7.008	455102	979
AA	35	3	Taxi_Express1	0	10	10.036	585962	416
AA	35	3	Taxi_Express2	0	10	10.003	437185	563
AA	40	3	Taxi_Express1ws	1	9	9.002	611993	944
AA	40	3	Taxi_Express2ws	1	9	9.032	477171	1112
AA	40	3	Taxi_Express1ws	2	8	8.045	621527	944
AA	40	3	Taxi_Express2ws	2	8	8.025	477171	1112
AA	40	3	Taxi_Express1ws	3	7	7.03	629692	944
AA	40	3	Taxi_Express2ws	3	7	7.005	493348	1112
AA	40	3	Taxi_Express1	0	10	10.01	621005	472
AA	40	3	Taxi_Express2	0	10	10.035	635696	640
AA	45	4	Taxi_Express1ws	1	9	9.026	610078	1340
AA	45	4	Taxi_Express2ws	1	9	9.081	438033	1592
AA	45	4	Taxi_Express1ws	2	8	8.016	610078	1340
AA	45	4	Taxi_Express2ws	2	8	8.06	438033	1592
AA	45	4	Taxi_Express1ws	3	7	7.036	610078	1340
AA	45	4	Taxi_Express2ws	3	7	7.028	438033	1592
AA	45	4	Taxi_Express1	0	10	10.003	1466025	670
AA	45	4	Taxi_Express2	0	10	10.046	1005144	922
AA	50	4	Taxi_Express1ws	1	9	9.008	670676	1480
AA	50	4	Taxi_Express2ws	1	9	9.02	513111	1760
AA	50	4	Taxi_Express1ws	2	8	8.04	676769	1480
AA	50	4	Taxi_Express2ws	2	8	8.05	513111	1760
AA	50	4	Taxi_Express1ws	3	7	7.008	676769	1480
AA	50	4	Taxi_Express2ws	3	7	7.052	520707	1760
AA	50	4	Taxi_Express1	0	10	10.012	692904	740
AA	50	4	Taxi_Express2	0	10	10.079	940758	1020
AA	55	4	Taxi_Express1ws	1	9	9.035	742645	1620
AA	55	4	Taxi_Express2ws	1	9	9.066	562947	1928
AA	55	4	Taxi_Express1ws	2	8	8.047	751450	1620
AA	55	4	Taxi_Express2ws	2	8	8.004	562947	1928
AA	55	4	Taxi_Express1ws	3	7	7.031	878934	1620
AA	55	4	Taxi_Express2ws	3	7	7.045	562947	1928
AA	55	4	Taxi_Express1	0	10	10.027	782024	810
AA	55	4	Taxi_Express2	0	10	10.014	1824126	1118
AA	60	4	Taxi_Express1ws	1	9	9.008	859483	1760
AA	60	4	Taxi_Express2ws	1	9	9.017	636269	2096
AA	60	4	Taxi_Express1ws	2	8	8.049	865183	1760
AA	60	4	Taxi_Express2ws	2	8	8.117	636269	2096
AA	60	4	Taxi_Express1ws	3	7	7.025	873125	1760
AA	60	4	Taxi_Express2ws	3	7	7.02	643368	2096
AA	60	4	Taxi_Express1	0	10	10.035	1137413	880
AA	60	4	Taxi_Express2	0	10	10.097	1994472	1216
AA	65	4	Taxi_Express1ws	1	9	9.017	967092	1900
AA	65	4	Taxi_Express2ws	1	9	9.012	663589	2264
AA	65	4	Taxi_Express1ws	2	8	8.015	967092	1900
AA	65	4	Taxi_Express2ws	2	8	8.092	663589	2264
AA	65	4	Taxi_Express1ws	3	7	7.023	967092	1900
AA	65	4	Taxi_Express2ws	3	7	7.056	663589	2264
AA	65	4	Taxi_Express1	0	10	10.05	1954564	950
AA	65	4	Taxi_Express2	0	10	10.037	1966028	1314
AA	70	5	Taxi_Express1ws	1	9	9.027	926494	2472
AA	70	5	Taxi_Express2ws	1	9	9.068	618850	2962
AA	70	5	Taxi_Express1ws	2	8	8.044	926494	2472
AA	70	5	Taxi_Express2ws	2	8	8.1	618850	2962
AA	70	5	Taxi_Express1ws	3	7	7.131	964761	2472
AA	70	5	Taxi_Express2ws	3	7	7.05	618850	2962
AA	70	5	Taxi_Express1	0	10	10.021	nfs	1236
AA	70	5	Taxi_Express2	0	10	10.119	nfs	1726
AA	75	5	Taxi_Express1ws	1	9	9.055	989869	2640
AA	75	5	Taxi_Express2ws	1	9	9.05	689140	3165
AA	75	5	Taxi_Express1ws	2	8	8.023	989869	2640
AA	75	5	Taxi_Express2ws	2	8	8.031	689140	3165
AA	75	5	Taxi_Express1ws	3	7	7.051	989869	2640
AA	75	5	Taxi_Express2ws	3	7	7.042	689140	3165
AA	75	5	Taxi_Express1	0	10	10.023	nfs	1320
AA	75	5	Taxi_Express2	0	10	10.032	nfs	1845
BB	5	1	Taxi_Express1ws	1	9	9.008	277149	64
BB	5	1	Taxi_Express2ws	1	9	9.008	277149	71
BB	5	1	Taxi_Express1ws	2	8	8.008	277149	64
BB	5	1	Taxi_Express2ws	2	8	8.008	277149	71
BB	5	1	Taxi_Express1ws	3	7	7.005	277149	64
BB	5	1	Taxi_Express2ws	3	7	7.008	277149	71
BB	5	1	Taxi_Express1	0	10	10.008	277149	32
BB	5	1	Taxi_Express2	0	10	10.006	277149	39
BB	10	2	Taxi_Express1ws	1	9	9.013	252225	192
BB	10	2	Taxi_Express2ws	1	9	9.014	232053	220
BB	10	2	Taxi_Express1ws	2	8	8.013	252225	192
BB	10	2	Taxi_Express2ws	2	8	8.015	232053	220
BB	10	2	Taxi_Express1ws	3	7	7.005	252225	192
BB	10	2	Taxi_Express2ws	3	7	7.016	232053	220
BB	10	2	Taxi_Express1	0	10	10.006	252225	96
BB	10	2	Taxi_Express2	0	10	10.014	223149	124
BB	15	2	Taxi_Express1ws	1	9	9.012	343466	276
BB	15	2	Taxi_Express2ws	1	9	9.025	294750	318
BB	15	2	Taxi_Express1ws	2	8	8.022	343466	276
BB	15	2	Taxi_Express2ws	2	8	8.025	294750	318
BB	15	2	Taxi_Express1ws	3	7	7.022	343466	276
BB	15	2	Taxi_Express2ws	3	7	7.026	294750	318
BB	15	2	Taxi_Express1	0	10	10.003	327107	138
BB	15	2	Taxi_Express2	0	10	10.018	301142	180
BB	20	2	Taxi_Express1ws	1	9	9.012	409034	360
BB	20	2	Taxi_Express2ws	1	9	9.004	380615	416
BB	20	2	Taxi_Express1ws	2	8	8.03	409034	360
BB	20	2	Taxi_Express2ws	2	8	8.033	380615	416
BB	20	2	Taxi_Express1ws	3	7	7.031	426827	360
BB	20	2	Taxi_Express2ws	3	7	7.038	380615	416
BB	20	2	Taxi_Express1	0	10	10.018	403765	180
BB	20	2	Taxi_Express2	0	10	10.027	369185	236
BB	25	3	Taxi_Express1ws	1	9	9.016	409581	608
BB	25	3	Taxi_Express2ws	1	9	9.028	319108	713
BB	25	3	Taxi_Express1ws	2	8	8.015	409581	608
BB	25	3	Taxi_Express2ws	2	8	8.052	319108	713
BB	25	3	Taxi_Express1ws	3	7	7.026	409581	608
BB	25	3	Taxi_Express2ws	3	7	7.006	319108	713
BB	25	3	Taxi_Express1	0	10	10.043	366890	304
BB	25	3	Taxi_Express2	0	10	10.051	296894	409
BB	30	3	Taxi_Express1ws	1	9	9.012	489055	720
BB	30	3	Taxi_Express2ws	1	9	9.013	371745	846
BB	30	3	Taxi_Express1ws	2	8	8.041	489055	720
BB	30	3	Taxi_Express2ws	2	8	8.037	371745	846
BB	30	3	Taxi_Express1ws	3	7	7.002	489055	720
BB	30	3	Taxi_Express2ws	3	7	7.04	371745	846
BB	30	3	Taxi_Express1	0	10	10.042	584975	360
BB	30	3	Taxi_Express2	0	10	10.037	399041	486
BB	35	3	Taxi_Express1ws	1	9	9.036	550855	832
BB	35	3	Taxi_Express2ws	1	9	9.026	508340	979
BB	35	3	Taxi_Express1ws	2	8	8.001	550855	832
BB	35	3	Taxi_Express2ws	2	8	8.057	508340	979
BB	35	3	Taxi_Express1ws	3	7	7.038	550855	832
BB	35	3	Taxi_Express2ws	3	7	7.014	508340	979
BB	35	3	Taxi_Express1	0	10	10.005	1026397	416
BB	35	3	Taxi_Express2	0	10	10.04	583834	563
BB	40	3	Taxi_Express1ws	1	9	9.019	598604	944
BB	40	3	Taxi_Express2ws	1	9	9.053	468521	1112
BB	40	3	Taxi_Express1ws	2	8	8.022	599255	944
BB	40	3	Taxi_Express2ws	2	8	8.015	468521	1112
BB	40	3	Taxi_Express1ws	3	7	7.025	601681	944
BB	40	3	Taxi_Express2ws	3	7	7.046	468521	1112
BB	40	3	Taxi_Express1	0	10	10.049	601075	472
BB	40	3	Taxi_Express2	0	10	10.032	891554	640
BB	45	4	Taxi_Express1ws	1	9	9.011	641594	1340
BB	45	4	Taxi_Express2ws	1	9	9.042	441377	1592
BB	45	4	Taxi_Express1ws	2	8	8.038	641594	1340
BB	45	4	Taxi_Express2ws	2	8	8.077	441377	1592
BB	45	4	Taxi_Express1ws	3	7	7.01	641594	1340
BB	45	4	Taxi_Express2ws	3	7	7.019	441377	1592
BB	45	4	Taxi_Express1	0	10	10.023	1351652	670
BB	45	4	Taxi_Express2	0	10	10.005	615598	922
BB	50	4	Taxi_Express1ws	1	9	9.02	696058	1480
BB	50	4	Taxi_Express2ws	1	9	9.12	534400	1760
BB	50	4	Taxi_Express1ws	2	8	8.022	696058	1480
BB	50	4	Taxi_Express2ws	2	8	8.069	537090	1760
BB	50	4	Taxi_Express1ws	3	7	7.009	696058	1480
BB	50	4	Taxi_Express2ws	3	7	7.035	537090	1760
BB	50	4	Taxi_Express1	0	10	10.04	1600368	740
BB	50	4	Taxi_Express2	0	10	10.016	952328	1020
BB	55	5	Taxi_Express1ws	1	9	9.011	747014	1968
BB	55	5	Taxi_Express2ws	1	9	9.009	468305	2353
BB	55	5	Taxi_Express1ws	2	8	8.041	802677	1968
BB	55	5	Taxi_Express2ws	2	8	8.119	481074	2353
BB	55	5	Taxi_Express1ws	3	7	7.016	802677	1968
BB	55	5	Taxi_Express2ws	3	7	7.05	481872	2353
BB	55	5	Taxi_Express1	0	10	10.02	1951399	984
BB	55	5	Taxi_Express2	0	10	10.07	1466828	1369
BB	60	6	Taxi_Express1ws	1	9	9.018	805901	2520
BB	60	6	Taxi_Express2ws	1	9	9.095	528696	3024
BB	60	6	Taxi_Express1ws	2	8	8.036	805901	2520
BB	60	6	Taxi_Express2ws	2	8	8.109	539791	3024
BB	60	6	Taxi_Express1ws	3	7	7.013	809948	2520
BB	60	6	Taxi_Express2ws	3	7	7.295	617412	3024
BB	60	6	Taxi_Express1	0	10	10.01	2141888	1260
BB	60	6	Taxi_Express2	0	10	10.046	nfs	1764
BB	65	6	Taxi_Express1ws	1	9	9.01	901038	2716
BB	65	6	Taxi_Express2ws	1	9	9.059	593748	3262
BB	65	6	Taxi_Express1ws	2	8	8.053	902052	2716
BB	65	6	Taxi_Express2ws	2	8	8.018	593748	3262
BB	65	6	Taxi_Express1ws	3	7	7.031	1009121	2716
BB	65	6	Taxi_Express2ws	3	7	7.068	593808	3262
BB	65	6	Taxi_Express1	0	10	10.017	2379254	1358
BB	65	6	Taxi_Express2	0	10	10.09	nfs	1904
BB	70	7	Taxi_Express1ws	1	9	9.053	999341	3360
BB	70	7	Taxi_Express2ws	1	9	9.097	602474	4046
BB	70	7	Taxi_Express1ws	2	8	8.154	1003142	3360
BB	70	7	Taxi_Express2ws	2	8	8.108	602474	4046
BB	70	7	Taxi_Express1ws	3	7	7.038	1003142	3360
BB	70	7	Taxi_Express2ws	3	7	7.077	602474	4046
BB	70	7	Taxi_Express1	0	10	10.016	nfs	1680
BB	70	7	Taxi_Express2	0	10	10.084	nfs	2366
BB	75	7	Taxi_Express1ws	1	9	9.004	961639	3584
BB	75	7	Taxi_Express2ws	1	9	9.1	637322	4319
BB	75	7	Taxi_Express1ws	2	8	8.056	961639	3584
BB	75	7	Taxi_Express2ws	2	8	8.07	637322	4319
BB	75	7	Taxi_Express1ws	3	7	7.013	961962	3584
BB	75	7	Taxi_Express2ws	3	7	7.036	637322	4319
BB	75	7	Taxi_Express1	0	10	10.055	nfs	1792
BB	75	7	Taxi_Express2	0	10	10.022	nfs	2527
CC	5	1	Taxi_Express1ws	1	9	9.011	198349	64
CC	5	1	Taxi_Express2ws	1	9	9.004	198349	71
CC	5	1	Taxi_Express1ws	2	8	8.016	198349	64
CC	5	1	Taxi_Express2ws	2	8	8.001	198349	71
CC	5	1	Taxi_Express1ws	3	7	7.003	198349	64
CC	5	1	Taxi_Express2ws	3	7	7.016	198349	71
CC	5	1	Taxi_Express1	0	10	10.007	198349	32
CC	5	1	Taxi_Express2	0	10	10.004	198349	39
CC	10	2	Taxi_Express1ws	1	9	9.018	229328	192
CC	10	2	Taxi_Express2ws	1	9	9.022	177758	220
CC	10	2	Taxi_Express1ws	2	8	8.023	231478	192
CC	10	2	Taxi_Express2ws	2	8	8.023	177758	220
CC	10	2	Taxi_Express1ws	3	7	7.022	231478	192
CC	10	2	Taxi_Express2ws	3	7	7.023	177758	220
CC	10	2	Taxi_Express1	0	10	10.004	213386	96
CC	10	2	Taxi_Express2	0	10	10.012	180692	124
CC	15	2	Taxi_Express1ws	1	9	9.03	283341	276
CC	15	2	Taxi_Express2ws	1	9	9.031	250843	318
CC	15	2	Taxi_Express1ws	2	8	8.012	283341	276
CC	15	2	Taxi_Express2ws	2	8	8.031	251290	318
CC	15	2	Taxi_Express1ws	3	7	7.014	283341	276
CC	15	2	Taxi_Express2ws	3	7	7.031	251290	318
CC	15	2	Taxi_Express1	0	10	10	281228	138
CC	15	2	Taxi_Express2	0	10	10.019	243895	180
CC	20	3	Taxi_Express1ws	1	9	9.029	322028	496
CC	20	3	Taxi_Express2ws	1	9	9.044	235967	580
CC	20	3	Taxi_Express1ws	2	8	8.026	322028	496
CC	20	3	Taxi_Express2ws	2	8	8.032	235967	580
CC	20	3	Taxi_Express1ws	3	7	7.017	322028	496
CC	20	3	Taxi_Express2ws	3	7	7.028	235967	580
CC	20	3	Taxi_Express1	0	10	10.029	280035	248
CC	20	3	Taxi_Express2	0	10	10.037	254960	332
CC	25	3	Taxi_Express1ws	1	9	9.011	393005	608
CC	25	3	Taxi_Express2ws	1	9	9.025	303879	713
CC	25	3	Taxi_Express1ws	2	8	8.033	393005	608
CC	25	3	Taxi_Express2ws	2	8	8.037	305002	713
CC	25	3	Taxi_Express1ws	3	7	7.01	393005	608
CC	25	3	Taxi_Express2ws	3	7	7.059	305002	713
CC	25	3	Taxi_Express1	0	10	10.043	397965	304
CC	25	3	Taxi_Express2	0	10	10.021	311825	409
CC	30	3	Taxi_Express1ws	1	9	9.02	499207	720
CC	30	3	Taxi_Express2ws	1	9	9.009	367512	846
CC	30	3	Taxi_Express1ws	2	8	8.029	499207	720
CC	30	3	Taxi_Express2ws	2	8	8.01	370966	846
CC	30	3	Taxi_Express1ws	3	7	7.021	499207	720
CC	30	3	Taxi_Express2ws	3	7	7.002	370966	846
CC	30	3	Taxi_Express1	0	10	10.022	563041	360
CC	30	3	Taxi_Express2	0	10	10.022	419342	486
CC	35	3	Taxi_Express1ws	1	9	9.021	574864	832
CC	35	3	Taxi_Express2ws	1	9	9.062	402104	979
CC	35	3	Taxi_Express1ws	2	8	8.009	574864	832
CC	35	3	Taxi_Express2ws	2	8	8.023	402104	979
CC	35	3	Taxi_Express1ws	3	7	7.025	574864	832
CC	35	3	Taxi_Express2ws	3	7	7.037	402104	979
CC	35	3	Taxi_Express1	0	10	10.039	549156	416
CC	35	3	Taxi_Express2	0	10	10.046	552453	563
CC	40	3	Taxi_Express1ws	1	9	9.035	728219	944
CC	40	3	Taxi_Express2ws	1	9	9.069	474925	1112
CC	40	3	Taxi_Express1ws	2	8	8.015	728219	944
CC	40	3	Taxi_Express2ws	2	8	8.005	474925	1112
CC	40	3	Taxi_Express1ws	3	7	7.014	728219	944
CC	40	3	Taxi_Express2ws	3	7	7.029	479413	1112
CC	40	3	Taxi_Express1	0	10	10.045	647816	472
CC	40	3	Taxi_Express2	0	10	10.033	1077690	640
CC	45	3	Taxi_Express1ws	1	9	9.012	750625	1056
CC	45	3	Taxi_Express2ws	1	9	9.05	588367	1245
CC	45	3	Taxi_Express1ws	2	8	8.038	753021	1056
CC	45	3	Taxi_Express2ws	2	8	8.003	588367	1245
CC	45	3	Taxi_Express1ws	3	7	7.019	754014	1056
CC	45	3	Taxi_Express2ws	3	7	7.009	588367	1245
CC	45	3	Taxi_Express1	0	10	10.04	841846	528
CC	45	3	Taxi_Express2	0	10	10.078	1237193	717
CC	50	4	Taxi_Express1ws	1	9	9.009	708505	1480
CC	50	4	Taxi_Express2ws	1	9	9.113	497447	1760
CC	50	4	Taxi_Express1ws	2	8	8.038	709528	1480
CC	50	4	Taxi_Express2ws	2	8	8.036	505586	1760
CC	50	4	Taxi_Express1ws	3	7	7.039	709528	1480
CC	50	4	Taxi_Express2ws	3	7	7.087	508921	1760
CC	50	4	Taxi_Express1	0	10	10.03	1660940	740
CC	50	4	Taxi_Express2	0	10	10.033	888418	1020
CC	55	4	Taxi_Express1ws	1	9	9.015	773229	1620
CC	55	4	Taxi_Express2ws	1	9	9.008	605483	1928
CC	55	4	Taxi_Express1ws	2	8	8.017	789304	1620
CC	55	4	Taxi_Express2ws	2	8	8.139	670419	1928
CC	55	4	Taxi_Express1ws	3	7	7.035	789304	1620
CC	55	4	Taxi_Express2ws	3	7	7.043	670419	1928
CC	55	4	Taxi_Express1	0	10	10.078	1801297	810
CC	55	4	Taxi_Express2	0	10	10.039	894226	1118
CC	60	4	Taxi_Express1ws	1	9	9.021	842340	1760
CC	60	4	Taxi_Express2ws	1	9	9.017	612218	2096
CC	60	4	Taxi_Express1ws	2	8	8.011	842340	1760
CC	60	4	Taxi_Express2ws	2	8	8.074	637739	2096
CC	60	4	Taxi_Express1ws	3	7	7.005	842340	1760
CC	60	4	Taxi_Express2ws	3	7	7.037	685637	2096
CC	60	4	Taxi_Express1	0	10	10.038	1130804	880
CC	60	4	Taxi_Express2	0	10	10.069	1834218	1216
CC	65	5	Taxi_Express1ws	1	9	9.01	831325	2304
CC	65	5	Taxi_Express2ws	1	9	9.038	594426	2759
CC	65	5	Taxi_Express1ws	2	8	8.051	839060	2304
CC	65	5	Taxi_Express2ws	2	8	8.045	594426	2759
CC	65	5	Taxi_Express1ws	3	7	7.015	839060	2304
CC	65	5	Taxi_Express2ws	3	7	7.123	594426	2759
CC	65	5	Taxi_Express1	0	10	10.028	1979619	1152
CC	65	5	Taxi_Express2	0	10	10.046	nfs	1607
CC	70	5	Taxi_Express1ws	1	9	9.019	889061	2472
CC	70	5	Taxi_Express2ws	1	9	9.038	656264	2962
CC	70	5	Taxi_Express1ws	2	8	8.053	889061	2472
CC	70	5	Taxi_Express2ws	2	8	8.105	699977	2962
CC	70	5	Taxi_Express1ws	3	7	7.044	926900	2472
CC	70	5	Taxi_Express2ws	3	7	7.077	699977	2962
CC	70	5	Taxi_Express1	0	10	10.005	2221499	1236
CC	70	5	Taxi_Express2	0	10	10.048	nfs	1726
CC	75	5	Taxi_Express1ws	1	9	9.055	979448	2640
CC	75	5	Taxi_Express2ws	1	9	9.096	752564	3165
CC	75	5	Taxi_Express1ws	2	8	8.055	985502	2640
CC	75	5	Taxi_Express2ws	2	8	8.017	752564	3165
CC	75	5	Taxi_Express1ws	3	7	7.011	1089825	2640
CC	75	5	Taxi_Express2ws	3	7	7.022	752564	3165
CC	75	5	Taxi_Express1	0	10	10.011	2415630	1320
CC	75	5	Taxi_Express2	0	10	10.036	nfs	1845
DD	5	1	Taxi_Express1ws	1	9	9.015	284806	64
DD	5	1	Taxi_Express2ws	1	9	9.016	284806	71
DD	5	1	Taxi_Express1ws	2	8	8.018	284806	64
DD	5	1	Taxi_Express2ws	2	8	8.011	284806	71
DD	5	1	Taxi_Express1ws	3	7	7.017	284806	64
DD	5	1	Taxi_Express2ws	3	7	7.016	284806	71
DD	5	1	Taxi_Express1	0	10	10.008	284806	32
DD	5	1	Taxi_Express2	0	10	10.007	284806	39
DD	10	2	Taxi_Express1ws	1	9	9.022	310216	192
DD	10	2	Taxi_Express2ws	1	9	9.023	252741	220
DD	10	2	Taxi_Express1ws	2	8	8.021	310216	192
DD	10	2	Taxi_Express2ws	2	8	8.023	252741	220
DD	10	2	Taxi_Express1ws	3	7	7.017	310216	192
DD	10	2	Taxi_Express2ws	3	7	7.017	252741	220
DD	10	2	Taxi_Express1	0	10	10.012	308309	96
DD	10	2	Taxi_Express2	0	10	10.012	252741	124
DD	15	2	Taxi_Express1ws	1	9	9.017	353583	276
DD	15	2	Taxi_Express2ws	1	9	9.032	321977	318
DD	15	2	Taxi_Express1ws	2	8	8.028	362722	276
DD	15	2	Taxi_Express2ws	2	8	8.032	321977	318
DD	15	2	Taxi_Express1ws	3	7	7.007	362722	276
DD	15	2	Taxi_Express2ws	3	7	7.024	321977	318
DD	15	2	Taxi_Express1	0	10	10.001	351387	138
DD	15	2	Taxi_Express2	0	10	10.02	309205	180
DD	20	2	Taxi_Express1ws	1	9	9.03	479517	360
DD	20	2	Taxi_Express2ws	1	9	9.011	373561	416
DD	20	2	Taxi_Express1ws	2	8	8.006	479517	360
DD	20	2	Taxi_Express2ws	2	8	8.036	373561	416
DD	20	2	Taxi_Express1ws	3	7	7.034	479517	360
DD	20	2	Taxi_Express2ws	3	7	7.014	373561	416
DD	20	2	Taxi_Express1	0	10	10.024	398327	180
DD	20	2	Taxi_Express2	0	10	10.03	378179	236
DD	25	2	Taxi_Express1ws	1	9	9.026	542248	444
DD	25	2	Taxi_Express2ws	1	9	9.045	446055	514
DD	25	2	Taxi_Express1ws	2	8	8.002	542248	444
DD	25	2	Taxi_Express2ws	2	8	8.039	446055	514
DD	25	2	Taxi_Express1ws	3	7	7.022	542248	444
DD	25	2	Taxi_Express2ws	3	7	7.015	446055	514
DD	25	2	Taxi_Express1	0	10	10.003	539534	222
DD	25	2	Taxi_Express2	0	10	10.039	439404	292
DD	30	2	Taxi_Express1ws	1	9	9.014	645587	528
DD	30	2	Taxi_Express2ws	1	9	9.043	538935	612
DD	30	2	Taxi_Express1ws	2	8	8.004	645587	528
DD	30	2	Taxi_Express2ws	2	8	8.041	538935	612
DD	30	2	Taxi_Express1ws	3	7	7.017	645587	528
DD	30	2	Taxi_Express2ws	3	7	7.072	538935	612
DD	30	2	Taxi_Express1	0	10	10.02	644413	264
DD	30	2	Taxi_Express2	0	10	10.003	556760	348
DD	35	3	Taxi_Express1ws	1	9	9.031	654032	832
DD	35	3	Taxi_Express2ws	1	9	9.04	500694	979
DD	35	3	Taxi_Express1ws	2	8	8.007	661900	832
DD	35	3	Taxi_Express2ws	2	8	8.018	500694	979
DD	35	3	Taxi_Express1ws	3	7	7.001	677612	832
DD	35	3	Taxi_Express2ws	3	7	7.047	500694	979
DD	35	3	Taxi_Express1	0	10	10.044	621556	416
DD	35	3	Taxi_Express2	0	10	10.068	417639	563
DD	40	3	Taxi_Express1ws	1	9	9.042	753393	944
DD	40	3	Taxi_Express2ws	1	9	9.053	503214	1112
DD	40	3	Taxi_Express1ws	2	8	8.022	753393	944
DD	40	3	Taxi_Express2ws	2	8	8.053	503214	1112
DD	40	3	Taxi_Express1ws	3	7	7.034	753393	944
DD	40	3	Taxi_Express2ws	3	7	7.062	503214	1112
DD	40	3	Taxi_Express1	0	10	10.002	686218	472
DD	40	3	Taxi_Express2	0	10	10.049	1023291	640
DD	45	3	Taxi_Express1ws	1	9	9.048	855465	1056
DD	45	3	Taxi_Express2ws	1	9	9.079	574279	1245
DD	45	3	Taxi_Express1ws	2	8	8.042	855465	1056
DD	45	3	Taxi_Express2ws	2	8	8.072	574279	1245
DD	45	3	Taxi_Express1ws	3	7	7.043	855465	1056
DD	45	3	Taxi_Express2ws	3	7	7.094	574279	1245
DD	45	3	Taxi_Express1	0	10	10.004	1461007	528
DD	45	3	Taxi_Express2	0	10	10.013	1244372	717
DD	50	3	Taxi_Express1ws	1	9	9.015	784358	1168
DD	50	3	Taxi_Express2ws	1	9	9.042	614247	1378
DD	50	3	Taxi_Express1ws	2	8	8.027	784358	1168
DD	50	3	Taxi_Express2ws	2	8	8.039	639291	1378
DD	50	3	Taxi_Express1ws	3	7	7.037	784358	1168
DD	50	3	Taxi_Express2ws	3	7	7.081	685303	1378
DD	50	3	Taxi_Express1	0	10	10.015	1112290	584
DD	50	3	Taxi_Express2	0	10	10.017	999369	794
DD	55	4	Taxi_Express1ws	1	9	9.048	816828	1620
DD	55	4	Taxi_Express2ws	1	9	9.045	523062	1928
DD	55	4	Taxi_Express1ws	2	8	8.039	817552	1620
DD	55	4	Taxi_Express2ws	2	8	8.005	523679	1928
DD	55	4	Taxi_Express1ws	3	7	7.004	826959	1620
DD	55	4	Taxi_Express2ws	3	7	7.041	532623	1928
DD	55	4	Taxi_Express1	0	10	10.003	758318	810
DD	55	4	Taxi_Express2	0	10	10.029	944463	1118
DD	60	4	Taxi_Express1ws	1	9	9.015	896769	1760
